Method,K,Silhouette,Calinski-Harabasz,Davies-Bouldin,Entropy_Rate,Normalized_Entropy,Effective_States,State_Efficiency,CV_Accuracy_Mean,CV_Accuracy_Std,Mean_Coherence,Runtime
KMeans_K4,4,0.029162513,34.443146,4.567640264715809,1.5847917173345398,0.7923958586672699,3.7363885974652287,0.9340971493663072,0.5078968833367282,0.09045926698531527,0.2511182129383087,0.13301992416381836
KMeans_K6,6,0.030875133,28.955963,4.160793673295024,2.0793290561105358,0.8043942825207104,5.593400621073843,0.9322334368456405,0.38841755605571676,0.07822720553406964,0.28370212266842526,0.07503199577331543
KMeans_K8,8,0.035570808,25.668795,4.019366074144156,2.1179644538684235,0.7059881512894745,7.094383114787103,0.8867978893483879,0.4036726468711441,0.1264728630487716,0.32029688730835915,0.08338713645935059
KMeans_K10,10,0.041107986,23.479853,3.8066957872763263,2.5633045641372667,0.7716315618277046,9.360803270273081,0.9360803270273081,0.3212821360778196,0.07047369728433459,0.3257329210639,0.10196423530578613
KMeans_K12,12,0.04568143,21.713196,3.7441579921539465,2.7189684680803743,0.7584370736188797,10.878022090683992,0.9065018408903326,0.33367806517071597,0.10113546111459613,0.32513997455437976,0.11370515823364258
KMeans_K15,15,0.045151275,19.297546,3.7262604318148798,3.068253432436895,0.7853440881824842,14.128842371975173,0.9419228247983449,0.28537612900029113,0.07723782290974807,0.33578221599260966,0.15030813217163086
KMeans_K20,20,0.05098404,16.76041,3.4980604081458724,3.433524934155733,0.7944428641044332,19.077908516995198,0.9538954258497598,0.25503222504123146,0.08137913438995167,0.3454113930463791,0.18065500259399414
Agglom_Ward_K4,4,0.014246734,23.739481,4.856760259096331,1.0507608447812098,0.5253804223906049,2.8745264736898455,0.7186316184224614,0.617979065833538,0.0777658787717827,0.3094942197203636,0.06526589393615723
Agglom_Ward_K8,8,0.024773132,20.286963,4.32473120796975,1.8501152215791545,0.6167050738597182,6.151552062550345,0.7689440078187931,0.4758248553078522,0.08818201991910833,0.3200894109904766,0.06372523307800293
Agglom_Ward_K10,10,0.026804779,19.056536,4.23907966093022,2.228132994812107,0.670734865767062,8.441525511830076,0.8441525511830076,0.41316089726242244,0.09396138851595265,0.3177900597453117,0.06125903129577637
Agglom_Ward_K15,15,0.03184107,16.47686,3.8950515201005858,2.754052031931231,0.7049217183165768,12.831109243549411,0.855407282903294,0.38348957028107455,0.06047555012414831,0.34664991398652395,0.060111045837402344
Agglom_Complete_K4,4,0.01344784,16.53288,6.019315811289739,1.4143584249589605,0.7071792124794802,3.294311513202256,0.823577878300564,0.6091065270789442,0.04968837242154476,0.20723921433091164,0.058397769927978516
Agglom_Complete_K8,8,0.0098236445,13.057983,5.3720494325761265,2.2246447170390287,0.7415482390130096,6.59495288917584,0.82436911114698,0.5080093933220157,0.05371903764209626,0.2368682250380516,0.06005096435546875
Agglom_Complete_K10,10,0.011048113,12.34648,5.317051433014118,2.593536200673559,0.7807321912431398,8.908077013567928,0.8908077013567928,0.45497224450054946,0.06368128778350135,0.24197790920734405,0.059329986572265625
GMM_K4,4,0.026361004,32.730362,4.823379655305865,1.746823444431469,0.8734117222157345,3.944347299701696,0.986086824925424,0.5083776249280476,0.022148854873564956,0.22829074040055275,0.1955258846282959
GMM_K8,8,0.032428365,23.927435,4.354488985991382,2.4189593360982684,0.8063197786994228,7.623383829421071,0.9529229786776339,0.40628226864165373,0.07287203472032472,0.281170379370451,0.36864185333251953
GMM_K10,10,0.03527173,22.282309,4.064404017795243,2.662994734275175,0.8016412933120608,9.475469711381429,0.9475469711381429,0.38906155387732044,0.0812010235917498,0.29523844718933107,0.4706690311431885
GMM_K15,15,0.045605257,19.06951,3.7649242799108267,3.0330786476133302,0.7763408197359344,14.244017343042016,0.9496011562028011,0.2586583082704387,0.08010323195371619,0.3260521739721298,0.6511590480804443
Spectral_K4,4,0.0039563663,17.817501,3.401294522656601,0.3051104723171418,0.1525552361585709,1.8357907551625188,0.4589476887906297,0.8281088013005456,0.19877233473895076,0.3566185534000397,0.10164308547973633
Spectral_K8,8,0.022050561,19.043276,3.9965836370288415,1.3202391122864787,0.4400797040954929,5.255770409843773,0.6569713012304716,0.5995382371400814,0.22619455585337228,0.3318039234727621,0.09888100624084473
Spectral_K10,10,0.014351574,15.944882,3.6510434536252903,1.397213698800256,0.4206032336914962,5.6230535027185695,0.5623053502718569,0.5961328054047451,0.21313826449327852,0.36676777601242067,0.11878514289855957
DBSCAN_eps0.3,8,0.22478522,13.12424,1.5291137324261606,2.1106425309659635,0.7035475103219878,7.4587100951635925,0.9323387618954491,0.0625,0.125,0.657396137714386,0.004909038543701172
DBSCAN_eps0.5,4,0.0045935265,4.02643,2.129893241469201,0.15874613343668753,0.07937306671834377,1.1657927256268077,0.2914481814067019,0.9781864770827806,0.012798544183098325,0.4265097752213478,0.005034923553466797
